Line,,,1959M01,1959M02,1959M03,1959M04,1959M05,1959M06,1959M07,1959M08,1959M09,1959M10,1959M11,1959M12,1960M01,1960M02,1960M03,1960M04,1960M05,1960M06,1960M07,1960M08,1960M09,1960M10,1960M11,1960M12,1961M01,1961M02,1961M03,1961M04,1961M05,1961M06,1961M07,1961M08,1961M09,1961M10,1961M11,1961M12,1962M01,1962M02,1962M03,1962M04,1962M05,1962M06,1962M07,1962M08,1962M09,1962M10,1962M11,1962M12,1963M01,1963M02,1963M03,1963M04,1963M05,1963M06,1963M07,1963M08,1963M09,1963M10,1963M11,1963M12,1964M01,1964M02,1964M03,1964M04,1964M05,1964M06,1964M07,1964M08,1964M09,1964M10,1964M11,1964M12,1965M01,1965M02,1965M03,1965M04,1965M05,1965M06,1965M07,1965M08,1965M09,1965M10,1965M11,1965M12,1966M01,1966M02,1966M03,1966M04,1966M05,1966M06,1966M07,1966M08,1966M09,1966M10,1966M11,1966M12,1967M01,1967M02,1967M03,1967M04,1967M05,1967M06,1967M07,1967M08,1967M09,1967M10,1967M11,1967M12,1968M01,1968M02,1968M03,1968M04,1968M05,1968M06,1968M07,1968M08,1968M09,1968M10,1968M11,1968M12,1969M01,1969M02,1969M03,1969M04,1969M05,1969M06,1969M07,1969M08,1969M09,1969M10,1969M11,1969M12,1970M01,1970M02,1970M03,1970M04,1970M05,1970M06,1970M07,1970M08,1970M09,1970M10,1970M11,1970M12,1971M01,1971M02,1971M03,1971M04,1971M05,1971M06,1971M07,1971M08,1971M09,1971M10,1971M11,1971M12,1972M01,1972M02,1972M03,1972M04,1972M05,1972M06,1972M07,1972M08,1972M09,1972M10,1972M11,1972M12,1973M01,1973M02,1973M03,1973M04,1973M05,1973M06,1973M07,1973M08,1973M09,1973M10,1973M11,1973M12,1974M01,1974M02,1974M03,1974M04,1974M05,1974M06,1974M07,1974M08,1974M09,1974M10,1974M11,1974M12,1975M01,1975M02,1975M03,1975M04,1975M05,1975M06,1975M07,1975M08,1975M09,1975M10,1975M11,1975M12,1976M01,1976M02,1976M03,1976M04,1976M05,1976M06,1976M07,1976M08,1976M09,1976M10,1976M11,1976M12,1977M01,1977M02,1977M03,1977M04,1977M05,1977M06,1977M07,1977M08,1977M09,1977M10,1977M11,1977M12,1978M01,1978M02,1978M03,1978M04,1978M05,1978M06,1978M07,1978M08,1978M09,1978M10,1978M11,1978M12,1979M01,1979M02,1979M03,1979M04,1979M05,1979M06,1979M07,1979M08,1979M09,1979M10,1979M11,1979M12,1980M01,1980M02,1980M03,1980M04,1980M05,1980M06,1980M07,1980M08,1980M09,1980M10,1980M11,1980M12,1981M01,1981M02,1981M03,1981M04,1981M05,1981M06,1981M07,1981M08,1981M09,1981M10,1981M11,1981M12,1982M01,1982M02,1982M03,1982M04,1982M05,1982M06,1982M07,1982M08,1982M09,1982M10,1982M11,1982M12,1983M01,1983M02,1983M03,1983M04,1983M05,1983M06,1983M07,1983M08,1983M09,1983M10,1983M11,1983M12,1984M01,1984M02,1984M03,1984M04,1984M05,1984M06,1984M07,1984M08,1984M09,1984M10,1984M11,1984M12,1985M01,1985M02,1985M03,1985M04,1985M05,1985M06,1985M07,1985M08,1985M09,1985M10,1985M11,1985M12,1986M01,1986M02,1986M03,1986M04,1986M05,1986M06,1986M07,1986M08,1986M09,1986M10,1986M11,1986M12,1987M01,1987M02,1987M03,1987M04,1987M05,1987M06,1987M07,1987M08,1987M09,1987M10,1987M11,1987M12,1988M01,1988M02,1988M03,1988M04,1988M05,1988M06,1988M07,1988M08,1988M09,1988M10,1988M11,1988M12,1989M01,1989M02,1989M03,1989M04,1989M05,1989M06,1989M07,1989M08,1989M09,1989M10,1989M11,1989M12,1990M01,1990M02,1990M03,1990M04,1990M05,1990M06,1990M07,1990M08,1990M09,1990M10,1990M11,1990M12,1991M01,1991M02,1991M03,1991M04,1991M05,1991M06,1991M07,1991M08,1991M09,1991M10,1991M11,1991M12,1992M01,1992M02,1992M03,1992M04,1992M05,1992M06,1992M07,1992M08,1992M09,1992M10,1992M11,1992M12,1993M01,1993M02,1993M03,1993M04,1993M05,1993M06,1993M07,1993M08,1993M09,1993M10,1993M11,1993M12,1994M01,1994M02,1994M03,1994M04,1994M05,1994M06,1994M07,1994M08,1994M09,1994M10,1994M11,1994M12,1995M01,1995M02,1995M03,1995M04,1995M05,1995M06,1995M07,1995M08,1995M09,1995M10,1995M11,1995M12,1996M01,1996M02,1996M03,1996M04,1996M05,1996M06,1996M07,1996M08,1996M09,1996M10,1996M11,1996M12,1997M01,1997M02,1997M03,1997M04,1997M05,1997M06,1997M07,1997M08,1997M09,1997M10,1997M11,1997M12,1998M01,1998M02,1998M03,1998M04,1998M05,1998M06,1998M07,1998M08,1998M09,1998M10,1998M11,1998M12,1999M01,1999M02,1999M03,1999M04,1999M05,1999M06,1999M07,1999M08,1999M09,1999M10,1999M11,1999M12,2000M01,2000M02,2000M03,2000M04,2000M05,2000M06,2000M07,2000M08,2000M09,2000M10,2000M11,2000M12,2001M01,2001M02,2001M03,2001M04,2001M05,2001M06,2001M07,2001M08,2001M09,2001M10,2001M11,2001M12,2002M01,2002M02,2002M03,2002M04,2002M05,2002M06,2002M07,2002M08,2002M09,2002M10,2002M11,2002M12,2003M01,2003M02,2003M03,2003M04,2003M05,2003M06,2003M07,2003M08,2003M09,2003M10,2003M11,2003M12,2004M01,2004M02,2004M03,2004M04,2004M05,2004M06,2004M07,2004M08,2004M09,2004M10,2004M11,2004M12,2005M01,2005M02,2005M03,2005M04,2005M05,2005M06,2005M07,2005M08,2005M09,2005M10,2005M11,2005M12,2006M01,2006M02,2006M03,2006M04,2006M05,2006M06,2006M07,2006M08,2006M09,2006M10,2006M11,2006M12,2007M01,2007M02,2007M03,2007M04,2007M05,2007M06,2007M07,2007M08,2007M09,2007M10,2007M11,2007M12,2008M01,2008M02,2008M03,2008M04,2008M05,2008M06,2008M07,2008M08,2008M09,2008M10,2008M11,2008M12,2009M01,2009M02,2009M03,2009M04,2009M05,2009M06,2009M07,2009M08,2009M09,2009M10,2009M11,2009M12,2010M01,2010M02,2010M03,2010M04,2010M05,2010M06,2010M07,2010M08,2010M09,2010M10,2010M11,2010M12,2011M01,2011M02,2011M03,2011M04,2011M05,2011M06,2011M07,2011M08,2011M09,2011M10,2011M11,2011M12,2012M01,2012M02,2012M03,2012M04,2012M05,2012M06,2012M07,2012M08,2012M09,2012M10,2012M11,2012M12,2013M01,2013M02,2013M03,2013M04,2013M05,2013M06,2013M07,2013M08,2013M09,2013M10,2013M11,2013M12,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07,2014M08,2014M09,2014M10,2014M11,2014M12,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08,2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09,2020M10,2020M11,2020M12,2021M01,2021M02
,Personal consumption expenditures by major type of product (From NIPA table 2.3.x):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,    Personal consumption expenditures (PCE),DPCERC,"306,091","309,554","312,702","312,193","316,130","318,193","317,787","320,161","324,228","322,794","322,860","322,871","323,603","325,338","330,150","336,482","330,042","330,102","331,366","331,613","333,397","335,398","335,366","331,307","332,178","333,717","337,664","337,639","339,870","340,857","340,560","342,068","344,368","346,499","349,881","352,398","353,161","353,951","357,353","359,006","361,978","360,389","361,358","362,882","368,757","366,548","371,684","373,621","374,423","373,411","375,016","376,350","377,205","381,683","384,407","386,287","385,488","386,023","389,440","394,684","396,783","400,161","401,801","402,823","408,431","411,355","414,912","417,737","416,618","419,602","416,359","421,001","424,440","431,397","433,297","437,059","437,625","435,243","441,033","444,375","452,006","458,479","459,054","461,673","465,158","470,220","475,031","476,948","473,094","475,524","480,562","483,152","489,159","488,285","490,050","491,843","494,203","492,952","495,797","501,315","502,243","506,814","506,708","509,821","515,622","512,203","517,400","525,145","530,934","533,622","544,333","544,007","549,783","556,253","563,156","567,007","568,203","571,644","576,748","576,540","583,479","588,675","588,862","593,870","600,271","600,869","602,700","609,939","613,239","618,515","620,476","622,768","628,728","633,992","632,334","636,017","642,427","646,268","648,472","652,907","659,068","658,315","656,559","665,608","676,149","679,409","682,000","688,759","691,134","699,781","698,881","704,916","712,999","715,838","720,940","728,438","731,497","736,160","749,188","752,541","757,962","761,589","769,918","776,335","781,143","794,943","800,451","806,112","816,471","825,800","832,750","835,703","841,581","844,298","854,131","853,252","869,246","868,163","876,880","876,619","884,533","889,670","901,400","910,797","922,436","928,033","937,949","954,819","955,059","959,232","956,186","961,818","975,602","989,395","990,575","995,033","1,018,937","1,026,777","1,039,789","1,046,958","1,054,829","1,060,854","1,075,758","1,092,058","1,107,148","1,107,695","1,114,879","1,125,424","1,122,700","1,140,496","1,149,590","1,157,982","1,168,847","1,176,784","1,188,960","1,211,481","1,214,984","1,231,325","1,238,329","1,247,267","1,257,068","1,263,605","1,280,483","1,285,687","1,294,544","1,311,405","1,326,983","1,336,024","1,329,486","1,355,131","1,377,542","1,396,368","1,411,964","1,425,824","1,426,815","1,446,954","1,452,881","1,466,922","1,480,617","1,496,523","1,502,425","1,517,821","1,531,178","1,538,448","1,558,800","1,575,659","1,586,126","1,615,572","1,633,904","1,641,601","1,657,250","1,666,255","1,697,298","1,701,393","1,708,215","1,695,241","1,700,079","1,718,848","1,747,082","1,763,778","1,780,453","1,817,093","1,826,815","1,851,714","1,870,041","1,884,239","1,902,921","1,904,356","1,913,765","1,934,451","1,942,122","1,966,640","1,965,535","1,963,887","1,970,646","1,988,808","1,997,087","2,021,248","2,024,130","2,026,327","2,044,491","2,048,116","2,072,242","2,080,123","2,104,649","2,125,774","2,149,261","2,161,628","2,173,954","2,177,039","2,202,774","2,226,393","2,245,902","2,276,020","2,304,398","2,320,429","2,334,858","2,357,587","2,366,269","2,393,632","2,419,379","2,403,535","2,431,581","2,457,516","2,474,478","2,495,634","2,494,602","2,512,193","2,533,775","2,531,326","2,571,438","2,582,626","2,618,764","2,640,778","2,648,481","2,659,479","2,696,421","2,689,393","2,715,697","2,752,098","2,794,650","2,755,779","2,771,148","2,811,273","2,827,130","2,820,196","2,823,619","2,835,206","2,857,488","2,861,673","2,881,188","2,898,579","2,971,835","2,932,936","2,928,413","2,997,074","2,935,534","3,001,715","3,013,291","3,038,838","3,048,401","3,072,751","3,094,743","3,130,801","3,126,529","3,134,528","3,144,166","3,174,055","3,213,729","3,221,419","3,260,540","3,262,972","3,293,642","3,318,535","3,342,733","3,367,972","3,374,992","3,413,661","3,430,226","3,459,729","3,483,745","3,488,011","3,498,760","3,542,964","3,551,782","3,566,555","3,585,694","3,620,641","3,621,864","3,633,599","3,643,294","3,684,184","3,730,696","3,728,233","3,754,915","3,769,991","3,775,774","3,804,496","3,821,712","3,848,288","3,870,100","3,870,551","3,871,877","3,861,300","3,840,994","3,866,693","3,912,999","3,907,079","3,933,221","3,940,495","3,965,995","3,969,105","3,984,708","3,976,045","4,003,572","4,020,479","4,084,653","4,099,539","4,117,009","4,131,544","4,158,382","4,177,056","4,204,795","4,220,850","4,255,267","4,284,729","4,300,488","4,336,398","4,340,707","4,355,340","4,352,498","4,393,413","4,422,366","4,439,965","4,468,940","4,481,096","4,511,530","4,532,758","4,554,053","4,571,141","4,585,136","4,632,580","4,645,953","4,671,080","4,669,499","4,708,909","4,720,620","4,762,623","4,775,041","4,812,888","4,825,640","4,841,610","4,851,170","4,850,763","4,885,374","4,890,197","4,933,127","4,977,503","4,970,175","5,005,318","5,020,492","5,013,903","5,055,565","5,097,498","5,085,738","5,132,843","5,173,265","5,207,961","5,223,759","5,229,777","5,251,905","5,275,019","5,296,591","5,328,454","5,351,191","5,378,645","5,411,132","5,433,958","5,454,224","5,459,332","5,460,234","5,494,236","5,548,827","5,587,042","5,601,667","5,637,666","5,661,056","5,692,107","5,689,906","5,723,833","5,750,287","5,788,053","5,837,943","5,871,702","5,889,962","5,924,994","5,965,584","5,998,823","6,015,365","6,070,526","6,072,871","6,101,798","6,132,928","6,196,211","6,225,679","6,254,009","6,281,495","6,326,472","6,378,758","6,402,116","6,437,944","6,538,657","6,535,338","6,619,651","6,685,803","6,671,068","6,707,569","6,743,905","6,764,050","6,799,136","6,882,921","6,888,220","6,902,365","6,945,699","6,976,988","6,995,817","6,987,862","7,001,188","7,047,124","7,060,699","7,072,211","7,108,913","7,012,842","7,208,437","7,167,881","7,147,650","7,174,314","7,218,304","7,237,202","7,305,402","7,282,747","7,318,187","7,380,387","7,401,492","7,390,951","7,430,718","7,459,683","7,512,847","7,533,055","7,535,904","7,598,376","7,621,027","7,628,149","7,678,625","7,738,232","7,834,537","7,834,950","7,845,661","7,899,583","7,929,210","7,987,413","8,019,816","8,076,006","8,088,592","8,163,235","8,147,188","8,218,854","8,253,099","8,321,074","8,374,582","8,420,621","8,481,467","8,470,226","8,529,186","8,569,453","8,645,589","8,643,866","8,724,829","8,829,454","8,832,372","8,885,783","8,926,554","8,938,468","8,969,634","9,059,816","9,090,080","9,122,062","9,174,786","9,215,119","9,240,830","9,322,571","9,321,811","9,354,705","9,373,181","9,380,204","9,468,973","9,516,349","9,546,824","9,585,122","9,615,673","9,651,254","9,667,292","9,709,567","9,753,909","9,797,921","9,827,040","9,897,842","9,908,374","9,930,016","9,913,374","9,959,369","9,996,844","10,053,835","10,107,851","10,104,748","10,094,665","10,043,478","9,960,286","9,820,772","9,730,724","9,783,788","9,766,042","9,718,547","9,724,806","9,748,929","9,806,913","9,841,736","9,961,043","9,883,424","9,931,915","9,940,505","9,998,856","10,001,804","10,030,584","10,089,069","10,112,882","10,130,973","10,151,445","10,184,662","10,228,186","10,248,971","10,304,661","10,354,655","10,392,137","10,435,475","10,470,116","10,550,482","10,587,584","10,612,004","10,636,788","10,677,460","10,700,570","10,738,071","10,753,149","10,759,452","10,772,158","10,862,109","10,953,458","10,951,759","10,979,732","10,968,569","10,946,274","10,977,192","11,004,054","11,061,488","11,099,841","11,136,842","11,140,451","11,202,846","11,239,630","11,227,063","11,205,383","11,244,609","11,268,785","11,296,717","11,329,195","11,366,927","11,419,776","11,487,649","11,517,943","11,503,657","11,574,489","11,644,541","11,707,109","11,750,859","11,812,665","11,858,122","11,939,145","11,948,811","12,018,390","12,050,209","12,065,041","12,046,086","12,098,341","12,152,793","12,196,284","12,264,516","12,305,804","12,366,116","12,400,889","12,400,935","12,409,345","12,446,263","12,482,394","12,505,978","12,579,311","12,569,656","12,649,416","12,696,140","12,777,011","12,794,248","12,836,031","12,893,194","12,922,733","12,957,807","13,058,020","13,122,206","13,140,886","13,196,484","13,222,167","13,225,704","13,275,932","13,301,326","13,344,545","13,466,894","13,503,515","13,593,679","13,690,913","13,716,451","13,738,425","13,811,763","13,875,841","13,953,720","13,990,149","14,048,329","14,102,158","14,108,305","14,193,780","14,249,703","14,130,754","14,223,650","14,236,128","14,369,985","14,443,153","14,492,987","14,555,820","14,611,932","14,650,856","14,673,150","14,728,459","14,752,801","14,796,289","14,880,494","14,877,402","13,878,483","12,112,058","13,165,378","14,014,609","14,224,702","14,397,170","14,582,741","14,627,086","14,532,788","14,451,138","14,939,055","14,790,095"
2,Goods,DGDSRC,"167,411","169,596","172,162","170,680","173,326","173,845","172,707","174,065","176,799","174,543","173,678","172,472","172,841","174,113","178,226","183,211","176,004","175,972","177,041","177,191","178,276","179,281","178,164","173,863","173,918","175,209","177,797","176,630","177,750","178,313","178,043","179,206","180,278","180,935","183,022","184,593","184,687","184,768","187,148","187,405","189,019","186,951","187,343","188,221","193,015","190,011","193,759","195,299","195,821","194,273","195,047","195,351","195,830","198,873","200,155","200,558","198,891","198,120","200,579","204,356","205,136","207,387","207,415","207,572","211,951","213,273","215,957","217,679","215,127","217,085","212,527","215,919","218,314","224,327","225,386","227,338","226,476","222,944","227,314","229,413","235,580","240,119","238,854","240,040","242,745","246,629","249,844","250,152","244,845","245,878","249,270","251,360","255,650","253,353","252,958","252,748","253,944","252,548","253,938","257,910","257,524","260,078","258,127","259,424","263,875","259,263","262,876","268,380","271,025","272,428","279,729","277,189","281,285","284,085","289,499","291,363","290,297","291,647","294,493","292,359","297,412","300,043","299,078","301,210","304,014","302,767","303,248","307,992","308,609","310,629","309,974","311,160","313,784","315,002","313,499","314,651","318,333","319,679","319,681","321,459","324,041","322,258","318,612","324,529","333,744","333,698","334,197","338,365","337,463","343,632","340,213","342,569","348,817","348,451","351,249","352,989","353,755","355,882","363,595","365,056","369,895","370,153","374,608","377,828","380,591","389,773","391,265","393,383","401,814","408,082","411,907","411,850","413,985","412,207","420,027","416,089","426,033","422,634","428,184","426,812","431,742","434,040","440,734","444,264","450,545","450,990","457,792","469,617","464,566","462,518","456,909","454,741","463,987","470,861","469,130","468,200","486,906","489,517","498,632","502,859","506,765","503,730","513,622","521,801","530,491","530,169","531,540","538,882","532,574","545,453","547,619","549,639","554,100","558,259","561,480","575,450","572,316","581,809","587,069","590,902","593,199","594,678","601,547","603,177","606,981","615,904","627,269","629,756","615,444","629,740","642,540","652,308","662,687","668,002","665,980","676,152","674,949","682,193","691,779","701,024","699,483","708,312","715,809","711,768","723,765","730,968","737,328","755,566","766,941","762,051","770,064","773,195","793,785","793,143","789,076","777,519","774,952","781,022","797,015","803,337","805,234","824,312","825,447","832,681","849,682","861,633","868,958","863,176","860,328","867,849","871,720","890,157","881,279","870,680","870,638","876,320","878,257","892,706","887,914","882,359","895,408","886,076","900,319","895,597","909,561","910,585","923,048","929,655","923,367","919,707","934,658","947,027","961,565","979,304","989,705","989,369","993,320","1,007,469","1,012,388","1,027,519","1,047,339","1,030,217","1,036,129","1,052,598","1,061,331","1,077,001","1,061,707","1,061,597","1,076,621","1,071,786","1,095,119","1,092,960","1,102,522","1,110,608","1,118,045","1,119,710","1,138,213","1,120,109","1,131,554","1,151,478","1,187,775","1,145,205","1,156,020","1,170,066","1,185,808","1,166,034","1,160,789","1,165,398","1,182,809","1,176,019","1,187,497","1,202,844","1,259,906","1,213,207","1,195,202","1,252,009","1,182,623","1,232,752","1,232,263","1,246,606","1,246,370","1,261,171","1,269,696","1,291,372","1,282,524","1,267,227","1,273,586","1,289,378","1,302,472","1,301,340","1,322,667","1,316,911","1,329,043","1,334,334","1,337,030","1,341,772","1,344,697","1,361,730","1,369,811","1,385,908","1,398,761","1,381,753","1,386,415","1,420,999","1,417,817","1,424,462","1,429,987","1,453,728","1,442,062","1,436,891","1,438,704","1,454,074","1,501,718","1,481,661","1,485,322","1,482,177","1,472,724","1,482,881","1,487,404","1,493,482","1,509,143","1,502,454","1,506,188","1,490,465","1,465,662","1,477,844","1,514,016","1,491,650","1,500,287","1,499,103","1,510,538","1,506,149","1,509,497","1,492,584","1,499,959","1,501,920","1,535,562","1,539,879","1,526,104","1,533,312","1,550,356","1,560,953","1,563,463","1,573,180","1,582,781","1,596,604","1,585,588","1,611,430","1,616,634","1,605,619","1,598,690","1,625,424","1,643,649","1,633,433","1,650,457","1,641,929","1,655,111","1,669,024","1,681,375","1,686,816","1,689,568","1,711,062","1,716,375","1,733,097","1,712,820","1,734,527","1,741,363","1,766,968","1,768,343","1,790,736","1,794,237","1,799,548","1,796,513","1,774,037","1,793,769","1,781,527","1,803,279","1,826,889","1,813,899","1,823,930","1,840,873","1,819,607","1,842,121","1,869,952","1,845,969","1,872,548","1,894,477","1,917,020","1,918,106","1,912,492","1,917,190","1,927,880","1,932,590","1,952,011","1,958,719","1,963,047","1,975,398","1,985,085","1,999,342","1,976,046","1,963,243","1,983,635","2,006,838","2,030,343","2,023,191","2,028,587","2,053,472","2,052,889","2,042,462","2,045,893","2,044,790","2,071,702","2,096,016","2,099,770","2,103,515","2,118,051","2,138,028","2,164,285","2,171,890","2,204,871","2,188,342","2,208,886","2,217,449","2,255,620","2,276,124","2,287,475","2,287,084","2,311,216","2,335,487","2,330,189","2,339,011","2,407,858","2,372,287","2,416,110","2,450,861","2,428,819","2,438,992","2,443,339","2,445,116","2,455,239","2,507,094","2,493,180","2,485,867","2,501,158","2,498,539","2,513,841","2,485,357","2,490,435","2,518,978","2,520,904","2,517,014","2,532,694","2,496,035","2,627,072","2,577,571","2,528,679","2,549,333","2,567,633","2,568,684","2,608,831","2,565,248","2,586,719","2,619,139","2,635,944","2,600,244","2,604,754","2,623,503","2,655,625","2,649,689","2,643,361","2,678,951","2,680,090","2,658,680","2,694,923","2,721,697","2,792,383","2,784,659","2,766,156","2,799,610","2,800,969","2,823,418","2,829,981","2,876,302","2,850,905","2,901,546","2,854,483","2,891,956","2,904,117","2,937,944","2,966,644","2,980,563","3,006,392","2,982,504","3,010,399","3,012,938","3,065,185","3,029,735","3,077,321","3,149,503","3,123,898","3,140,132","3,151,371","3,119,738","3,132,349","3,209,683","3,191,420","3,189,425","3,223,117","3,223,309","3,231,852","3,285,521","3,268,978","3,265,813","3,251,407","3,236,410","3,298,930","3,299,695","3,296,018","3,328,661","3,332,243","3,368,001","3,355,156","3,375,468","3,366,928","3,397,634","3,405,960","3,442,720","3,435,882","3,421,004","3,386,785","3,411,314","3,415,266","3,444,367","3,470,964","3,456,241","3,451,170","3,376,310","3,289,512","3,155,439","3,080,279","3,133,282","3,136,380","3,090,420","3,098,385","3,130,579","3,174,460","3,195,838","3,286,931","3,202,661","3,222,420","3,237,118","3,251,794","3,247,580","3,251,760","3,299,120","3,302,988","3,282,913","3,287,802","3,293,662","3,315,914","3,335,781","3,377,069","3,400,851","3,418,457","3,450,412","3,457,232","3,499,460","3,521,256","3,506,317","3,515,798","3,516,223","3,519,064","3,548,037","3,561,288","3,562,599","3,559,763","3,600,401","3,647,226","3,638,523","3,638,043","3,620,008","3,591,077","3,595,005","3,636,924","3,663,490","3,665,563","3,679,302","3,677,308","3,733,860","3,750,762","3,710,217","3,686,641","3,704,852","3,706,506","3,728,815","3,726,124","3,736,116","3,743,656","3,765,171","3,766,952","3,741,659","3,802,819","3,824,087","3,850,966","3,855,963","3,881,914","3,890,463","3,910,273","3,892,986","3,908,777","3,907,971","3,887,602","3,839,690","3,860,015","3,904,020","3,902,744","3,935,760","3,943,566","3,968,699","3,969,026","3,943,585","3,920,242","3,946,076","3,942,487","3,930,237","3,950,590","3,936,285","3,963,779","3,980,701","4,026,009","4,006,529","4,014,589","4,031,502","4,037,999","4,021,521","4,080,485","4,104,427","4,104,990","4,114,788","4,134,182","4,115,840","4,140,897","4,137,408","4,157,896","4,236,579","4,231,415","4,279,219","4,309,421","4,311,119","4,314,214","4,321,336","4,342,669","4,394,856","4,368,780","4,387,657","4,400,096","4,396,729","4,431,093","4,469,083","4,324,614","4,400,377","4,381,151","4,463,947","4,495,956","4,520,995","4,536,085","4,553,592","4,558,912","4,548,352","4,562,533","4,559,985","4,564,604","4,591,847","4,568,228","4,498,682","3,890,828","4,447,830","4,745,896","4,815,823","4,859,971","4,929,287","4,922,804","4,862,104","4,772,329","5,174,847","5,018,931"
