Month,state,median_listing_price,active_listing_count,new_listing_count,price_increased_count,average_listing_price,total_listing_count
21-Jan,kansas,184000,4077,1732,164,299086.4655,8452
21-Jan,mississippi,220000,5252,1708,248,298304.6969,8394
21-Jan,south dakota,239900,1726,632,36,314071.8706,2338
21-Jan,iowa,219900,7796,2308,344,255536.8422,13228
21-Jan,florida,349500,83139,32896,7416,786828.9043,147947
21-Jan,illinois,224900,30479,12036,692,373318.1658,51225
21-Jan,michigan,239900,14385,6632,692,368885.6889,23329
21-Jan,nevada,350000,7085,3360,360,662584.7705,8504
21-Jan,montana,399900,2356,736,68,912047.0059,4798
21-Jan,oregon,485000,4666,3544,308,684443.8063,12512
21-Jan,north dakota,235000,1992,580,8,280566.2125,2732
21-Jan,new mexico,280990,4059,1464,152,452379.865,7034
21-Jan,massachusetts,639900,7115,4320,232,1178242.895,9633
21-Jan,south carolina,279900,13745,5640,2616,458562.3044,25863
21-Jan,alabama,256000,10773,4384,968,349300.4362,16091
21-Jan,arizona,419000,8214,6944,928,770973.6373,22193
21-Jan,georgia,329900,28395,15832,2888,485839.9832,59588
21-Jan,minnesota,299900,8490,4144,524,415079.3004,15482
21-Jan,utah,589900,3308,2332,304,1256900.721,10835
21-Jan,delaware,358000,1582,744,224,491277.3221,4059
21-Jan,pennsylvania,259900,17974,7428,664,399448.4569,34296
21-Jan,washington,525000,5576,5332,552,804850.9107,17110
21-Jan,north carolina,350000,16818,8116,2160,509572.5969,35961
21-Jan,maryland,349000,6885,4668,524,525379.2477,17332
21-Jan,missouri,227000,10107,4444,636,335911.4431,20715
21-Jan,wisconsin,259900,7688,3260,188,369118.1044,13006
21-Jan,oklahoma,219900,6619,3128,292,328691.6502,12867
21-Jan,arkansas,199000,6118,2168,124,296300.2143,9536
21-Jan,district of columbia,595000,1469,808,24,988596.0935,2414
21-Jan,tennessee,325000,10317,5832,828,496358.9822,21501
21-Jan,virginia,345900,13550,7976,1272,561884.1095,26739
21-Jan,louisiana,250000,9602,3212,312,350869.9669,15844
21-Jan,texas,300000,50628,25852,7056,464753.5904,94912
21-Jan,colorado,535000,9285,5796,788,1280167.608,19170
21-Jan,wyoming,265000,1663,532,20,635528.2536,2348
21-Jan,connecticut,399900,9735,3292,204,924046.2016,9864
21-Jan,west virginia,159900,3550,1020,92,249249.6346,5672
21-Jan,rhode island,425000,1233,872,24,855218.2551,3236
21-Jan,ohio,189900,12848,6724,272,297312.0983,27853
21-Jan,new jersey,439800,20250,9680,624,676315.0019,30911
